How far in advance do I need to book?,"As soon as possible! We recommend at least 2 weeks before your move date, but it depends on the time of the year. We are busiest during Summer months, on weekends, and at the beginning and end of each month.
We recommend locking in a date as soon as possible even if you need to reschedule in the future. We only require a small deposit which transfers over to the new move date if it changes."
What can I do to save time on move day?,"Being prepared and fully ready for the movers before we arrive is the best way to save on time on your move. Check out our free moving checklist for some tips & tricks! For more information, check out our article on the MovingWaldo Website - ""What Influences The Price Of A Move."""
Are there any items I should move beforehand?,"There are a few things we require customers to move on their own. These items include:Flammables / Hazardous Items: such as propane tanks, harsh chemicals, lighters/matches, etc.Items of Extraordinary Value: such as cash, important documents, fine art, jewelry, etc.
If you require any of these items be moved by Jonah’s Movers, reach out to us so we can talk through the details and add an exception to your contract."
Do I need to empty clothing from my dressers?,"Sometimes. We can typically move dressers if there is only clothing inside. If the dresser is extremely heavy or if it is made from particle board (IKEA), we recommend taking items out to prevent damages."
Do I need to move my hanging clothes ahead of time?,"No. If you need help with hanging clothes, please let us know ahead of time and we can bring wardrobe boxes for free same-day use! We recommend around 3 feet of closet space per wardrobe, so let us know how many you think you'll need.We also sell wardrobe boxes for $10/each. $5 per wardrobe box is returned when we get them back in good condition."
What time will the movers arrive?,"Please check page 1 of your proposal or contract for the ""Guaranteed Arrival Window.""We guarantee your crew will arrive within that window. If not, we will work for free for the time we are late. For more details, click here."
What happens if my movers arrive late?,"What happens if my movers arrive late?If we are late, we will get started working as soon as we arrive and apply a discount at the end of your move when taking final payment. Click here for more details."
Will the movers bring tools to disassemble & reassemble furniture?,Yes. All of our crews have a complete tool box for typical home & office furniture and are professionally trained in proper disassembly & reassembly of furniture.
How do the movers protect my floors?,"How do the movers protect my floors?
Every truck is equipped with 2-3 rolls of rubber floor protection that protect hardwood and other scratch-prone flooring. We typically wear shoes while working on carpet, however some clients prefer that we take off our shoes to prevent tracking dirt."
What if a problem or issue arises on move day?,"If there is an issue or concern on move day, Call our office right away! (832) 728-6675
While we rarely have problems, if anything does arise, tell us early in the move so we can take steps to resolve it quickly. Being a service, our policy is similar to a restaurant’s policy for food:
If you take a bite and complain we can easily take care of it. But if you finish your plate and complain, it's much harder to take back the service."
What happens if there is bad weather on my move day?,"We typically move in bad weather unless it is unsafe to do so. Being in Houston, it would be impossible to operate any other way. All furniture items will be protected with blankets and shrinkwrap so they don’t get exposed to the elements.In the case of major weather events (hurricanes, ice storms, etc), we may need to reschedule moves or bring on additional movers to expedite the completion of your move."
Which items can you NOT move?,"While we do our best to accommodate every client, we are not authorized to move the following items:
Flammables / Hazardous Items: such as gasoline, lighter fluid,  propane tanks, fireworks, ammunition, bleach, pool chemicals, acid, car batteries, etc.
Items of Extraordinary Value: such as jewelry, cash, fire art, family heirlooms, personal documents, keys, etc.
If you require any of these items be moved by Jonah’s Movers, reach out to us so we can talk through the details and add an exception to your contract."
Do you offer packing services?,Yes. Please see our packing webpage for more details.
Do you provide packing supplies? Can you deliver them to me?,"We do provide packing supplies. If you've scheduled packing services with us, your crew will bring packing materials in the truck on the day of your move.
At this time, we do not drop off materials in advance of a move. If you are looking to buy your own boxes, we recommend 1/2 Price Boxes, Home Depot, or Lowes."
Can you crate items?,"No. We do not offer crating services at this time. If items require crating, contact us for a referral."
Do you offer unpacking services?,Yes. Please see our packing webpage for more details.
Do you offer out of state moves?,"Unfortunately no. We do not offer interstate moves at this time.
If you require a long distance within Texas, please check out our long-distance webpage for more details."
Do you load/unload rental trucks or pods?,Yes! We offer labor-only jobs and can load or unload your rental truck or temporary storage containers.
Can my movers disassemble and reassemble furniture?,Yes! All of our movers are professionally-trained in disassembling & reassembling all standard household furniture. We will bring the necessary tools to do so.
Can you disconnect and reconnect appliances?,"No. Due to liability concerns, we can no longer disconenct or reconnect appliances gas/water lines. "
Is there a deposit? What happens if I need to cancel?,"Yes, we require a $100 deposit to secure your move. This deposit can be paid online or over the phone with a debit/credit card.
If you need to cancel, please let us know as soon as possible.
If you cancel at least 7 days before your scheduled move date: we will refund your deposit.
If you cancel within 7 days of your scheduled move date: we will hold your deposit."
When do I pay for my move?,The full cost of your move is due on-site upon completion of our services. Your crew leader will provide a breakdown of line items before taking payment.
How much should I tip my movers?,"We typically recommend a 10-15% tip split between the crew if you we're pleased with the move. Though not necessary, the crew certainly appreciates a gratuity for a job well done."
What forms of payment do you accept?,"We accept cash, checks, and all major debit/credit cards.
Debit/credit card payments (excluding the $100 deposit) are subject to a 3% Processing Fee."
How much coverage should I purchase?,It’s really up to you. Some clients tally up each piece of furniture to get a total value of their goods and purchase the nearest level of coverage. Other clients are just worried about a few expensive items (like a fridge or new bedroom set) and purchase just that level of coverage.
Are there any items not covered?,"Yes! There are certain items that Jonah's Movers will not carry or be liable for unless a special agreement to do so and a stipulated value of the articles are endorsed. Please let us know if you need to us move any of the following items:
Items of Extraordinary Value
Flammable or Explosive Items"
What is an item of extraordinary value?,"Items of extraordinary value include, but are not limited to:
Fine art, jewelry, bank bills, coin or currency, deeds, notes, drafts or valuable papers of any kind, postage or revenue stamps, stamp collections, precious stones, articles of particularly inherent value, precious metals or articles manufactured therefrom."
How do you protect my furniture?,"We do everything we can to avoid damages before they happen. We protect each piece of furniture with a combination of shrink wrap, cardboard, moving blankets, or paper pads.Mattresses will get shrink-wrapped to keep the dirt away, glass pieces will typically get cardboard and blankets to protect it, and wooden furniture will get blankets from top to bottom."
Are items going to/from a storage unit covered?,"Any item going to/from storage is limited to the state-required $0.60 per pound per article of liability coverage. 
If only part of your shipment is going to/from storage, just those items will be limited to $0.60 per pound per article while the rest of your shipment can be covered at a higher level of liability coverage if you choose to purchase it."
What is an ‘unregulated’ move and why am I not covered?,"The Texas DMV classifies ‘unregulated’ as a move that does not involve transporting items on our truck. This would include loading/unloading a rental truck or POD, rearranging furniture in your home, or moving apartments within the same building.
Office/corporate moves are also classified as ‘unregulated.’"
Does Jonah’s Movers sell insurance?,"No. Insurance can only be sold by a licensed insurance agent and Jonah’s Movers is not licensed or trained to sell insurance.
We are still liable for the value of your goods while in our care, custody, and control. All moves will have ATLEAST the state-required $0.60 per pound per article of liability coverage"
Can I purchase third-party insurance?,"You always have the option of purchasing insurance from a third-party insurance carrier. Before purchasing, check with your home-owners policy to see if you are already covered."
Why do you offer additional liability coverage?,"We offer additional liability coverage as an optional benefit for our customers. Since every client and move is unique, we want you to have multiple options when it comes to keeping your items protected on move day!"
What if an item is damaged during the move?,"If we happen to cause a damage during your move, your crew leader will take pictures and make a note of the serial numbers and other relevant information.At the end of your move, he will then get a discovery call set up with you and the operations team to we can get the claims process started."
What if I find a damage after the move is complete?,"If you happen to find a damage after the move is complete, give the office a call at (832) 728-6675.
The sales person will get a discovery call set-up with you and the operations team so we can get the claims process started."
How quickly do you respond to & resolve a claim?,"Once we are notified of a claim, we will respond back as soon as possible (usually within 2 business days) to get the discovery call set-up and the claims process started.
Resolution of a claim is very dependent on what was damaged.
Small claims will be resolved as quickly as possible either through a repair, replacement item, or cash settlement.
Claims of high value will need to go through our insurance carrier and can take up to 90 days to be fully resolved."
"What is a ""PM move"" or a ""Flex move""?","Our second move of the day is called a ""PM move"" or a ""Flex move"" because it starts when the crew finishes their morning job. Your crew will give you a call with their ETA before heading out to your location. If you haven’t heard from your Crew Leader by 2 pm, feel free to call the office for an update. If having an exact arrival time is important, we recommend scheduling your move as the first one of the day."
What can I do to reduce damages?,"Make sure all loose items are packed in sealed boxes before your move day. Our job is to protect your furniture by using furniture blankets. Your job is to make sure small items are packed properly in moving boxes. (This will make your move go super fast too!) If you need help packing, we do have a packing service that you can book who will do all the packing for you."
How can I trust that the movers won't waste time?,We live and thrive by good reviews and one of our core values is:  We don't keep movers you don't like. All you have to do is read our reviews to understand that they are efficient and quick.
How long should I expect my move to take?,"If everything’s packed and ready, it usually takes about 4-6 hours to load a 24' truck, and less time to unload. But remember, not every place is a full load. Some things can slow down the move, like loose items not in boxes, long walks from the home to the truck, elevator availability in high-rises, access to loading docks, traffic, and if you want furniture rearranged at your new place. Our experienced movers can give you a rough estimate when they arrive."
